,i_sc,i_mp,v_oc,v_mp,p_mp,i_x,i_xx
2020-05-12 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12 06:05:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-12 06:10:00-06:00,11.186524684371605,10.156462659830256,708.3750883207326,433.4072326685828,4401.884375098825,10.894918516198407,8.085078559030352
2020-05-12 06:15:00-06:00,25.15584442894717,22.836464718137307,747.6160185559223,531.4217374942241,12135.793758738075,24.500896170471965,18.158883697559244
2020-05-12 06:20:00-06:00,37.10832056676448,33.683025371459955,766.2979984752961,572.7046348310569,19290.4247453672,36.14319796538733,26.758392871898128
2020-05-12 06:25:00-06:00,47.98066668935887,43.54714298340788,778.5518560988388,597.9036044896816,26036.993755007115,46.73396812246683,34.56485928529909
2020-05-12 06:30:00-06:00,58.37725759348191,52.97760228621621,787.8387051183784,616.003850439437,32634.406995358302,56.86181069223518,42.015547478397345
2020-05-12 06:35:00-06:00,68.5660215734696,62.21763274178003,795.40695713879,630.1121907001457,39204.08886710012,66.78767882563727,49.30384787132566
2020-05-12 06:40:00-06:00,78.63246958166856,71.3448820162486,801.8133187635469,641.5987657891591,45774.78824699828,76.5948538640334,56.49157885560287
2020-05-12 06:45:00-06:00,88.574469125562,80.35749373264512,807.3508719269578,651.1867651164983,52327.73639663046,86.28124114137874,63.57769662001825
2020-05-12 06:50:00-06:00,98.3462051386618,89.21402973908455,812.1949198322086,659.3112709623592,58819.81533494955,95.80218338829457,70.5301102615999
2020-05-12 06:55:00-06:00,107.8727447813388,97.84670902781573,816.4586115948686,666.2559885688532,65190.95585153631,105.0846431024776,77.29628583110936
2020-05-12 07:00:00-06:00,117.0455378205944,106.15736014959042,820.2148625727204,672.2102126474573,71360.06164024888,114.02281218364692,83.80021936955885
2020-05-12 07:05:00-06:00,125.69727818827707,113.9946846647515,823.5019530839494,677.2899601067652,77207.45542897281,122.45360921783269,89.92481622682998
2020-05-12 07:10:00-06:00,133.53412010583503,121.0929271812795,826.3137857894715,681.5311591032934,82528.60302106812,130.09061410713016,95.46425730615248
2020-05-12 07:15:00-06:00,139.9230388498074,126.87945364838437,828.5509713715194,684.8217622498887,86889.81104078965,136.31682577283735,99.97440429943197
2020-05-12 07:20:00-06:00,142.69396628476505,129.39059381755627,829.7086174819595,686.4336953485788,88818.06345753212,139.01724500848385,101.92883424157188
2020-05-12 07:25:00-06:00,141.3293442559308,128.15836885330424,829.7289980377099,686.3078027063093,87956.08852613595,137.6873452600558,100.96636129372911
2020-05-12 07:30:00-06:00,150.36390762691866,136.33865311504988,832.5087967233862,690.3628362525125,94123.13925535328,146.492201359482,107.33360747049082
2020-05-12 07:35:00-06:00,159.45850189308854,144.5717386909443,835.1230413435446,694.1000043766848,100347.24445812935,155.35593924513051,113.73259762286733
2020-05-12 07:40:00-06:00,168.61381421088473,152.85820854892813,837.5884829247691,697.5556323260863,106627.10432058034,164.27923612258397,120.16360542260513
2020-05-12 07:45:00-06:00,177.83074527087192,161.19883834848238,839.9194335828303,700.7603226789422,112961.74997655315,173.2629774961062,126.62704960683172
2020-05-12 07:50:00-06:00,187.11034239186054,169.59453563713768,842.1282015114147,703.7400526828592,119350.4674440043,182.3081919983592,133.1234458593757
2020-05-12 07:55:00-06:00,196.453749477115,178.04629454152115,844.2254502962337,706.5170435381772,125792.74163240302,191.41600264130196,139.65337091690213
2020-05-12 08:00:00-06:00,205.86217183134298,186.55516382340184,846.2204729420907,709.1104287602503,132288.21220625125,200.58759254177193,146.21743737964627
2020-05-12 08:05:00-06:00,215.3368494240627,195.12222259210563,848.1214102221535,711.5367813907791,138836.638241002,209.82417887268767,152.81627464304879
2020-05-12 08:10:00-06:00,224.879037976715,203.74856321317625,849.9354355028775,713.8105440604659,145437.87275873558,219.12699443532787,159.4505154481787
2020-05-12 08:15:00-06:00,234.48999331158143,212.435277124325,851.6688999454907,715.9443692845864,152091.84049457117,228.4972724069938,166.12078482873395
2020-05-12 08:20:00-06:00,244.17095980884594,221.18344439854965,853.3274531828199,717.9493973165926,158798.5206023468,237.93623509021592,172.82769201347136
2020-05-12 08:25:00-06:00,253.92315974260526,229.99412406821165,854.9161394107651,719.8354793386693,165557.9305437185,247.4450835159275,179.57182302186112
2020-05-12 08:30:00-06:00,263.74778306734413,238.86834495817072,856.4394834814029,721.6113679783286,172370.11317198485,257.02498748313354,186.3537336476728
2020-05-12 08:35:00-06:00,273.56056909714863,247.72993013364294,857.8862382768307,723.2676311704361,179175.03973777755,266.5937890809801,193.11514850515445
2020-05-12 08:40:00-06:00,283.41070398593456,256.6233063341763,859.2699978875532,724.8230384832668,186006.48464275984,276.1994531741474,199.8899120635776
2020-05-12 08:45:00-06:00,293.327676049749,265.5750769400145,860.5994118811473,726.2899218607956,192884.50187893794,285.8707431923704,206.6981102881679
2020-05-12 08:50:00-06:00,303.3107755974271,274.5845566513097,861.877257182156,727.6736491937199,199807.94635069824,295.60697598468374,213.53900507681146
2020-05-12 08:55:00-06:00,313.3591515777721,283.65093292797746,863.1060636770648,728.9790879294808,206775.59837618333,305.4073304532229,220.41176377078114
2020-05-12 09:00:00-06:00,323.47181774455896,292.7732717255279,864.2881451263787,730.2106684931446,213786.16646362277,315.27085353174664,227.3154643323569
2020-05-12 09:05:00-06:00,330.64305424256844,299.233816578578,864.7038874085238,730.6142871008,218624.50157600932,322.265685941564,232.2035026887829
2020-05-12 09:10:00-06:00,337.86822772313604,305.74170978481925,865.1045996991818,730.9918905082545,223494.7104428311,329.31336505860594,237.12168176366924
2020-05-12 09:15:00-06:00,345.14582985524567,312.29556801008306,865.4906287565874,731.3442636675621,228395.57223297725,336.4124248047044,242.06882923329607
2020-05-12 09:20:00-06:00,352.4743061203909,318.89396742315176,865.8623222571548,731.6721777451783,233325.8436142974,343.56135388229393,247.04374599852775
2020-05-12 09:25:00-06:00,359.85205182859835,325.53543966234236,866.2200030570872,731.9763632176202,238284.2472224904,350.7585918758155,252.04520382274305
2020-05-12 09:30:00-06:00,367.27740748766325,332.21846853267414,866.5640107062994,732.2575555273474,243269.48366877498,358.0025247234118,257.0719424960999
2020-05-12 09:35:00-06:00,374.7486548352785,338.94148565179063,866.8946587553504,732.5164498403299,248280.21377325675,365.291480831654,262.12266755129775
2020-05-12 09:40:00-06:00,382.26401276198214,345.70286715767384,867.2122515247862,732.7537199476377,253315.06190634955,372.6237270847722,267.1960478768524
2020-05-12 09:45:00-06:00,389.8216301353153,352.50092787579746,867.5171099667984,732.9700469021683,258372.6216381811,379.9974618300701,272.2907112533224
2020-05-12 09:50:00-06:00,397.41958393084445,359.3339187918369,867.809528243917,733.1660729625286,263451.43812284723,387.4108130372256,277.40524357496156
2020-05-12 09:55:00-06:00,405.0558729114484,366.20002194293954,868.0897979661288,733.3424284397211,268550.01338631444,394.8618321158526,282.5381850233339
2020-05-12 10:00:00-06:00,412.72841193600675,373.09734560179544,868.358217621028,733.499742525547,273666.80693588196,402.3484883454593,287.6880267125458
2020-05-12 10:05:00-06:00,420.43502961494784,380.02392175848735,868.615070619029,733.6386203074704,278800.2256427307,409.8686665688005,292.8532096475941
2020-05-12 10:10:00-06:00,428.1734625036544,386.97770105711606,868.860629226991,733.7596476672375,283948.62158274703,417.4201615071959,298.0321213524689
2020-05-12 10:15:00-06:00,435.9413511292055,393.95655001119474,869.0951838458889,733.8634233049673,289110.3024246299,425.00067386508556,303.22309371987154
2020-05-12 10:20:00-06:00,443.73623753168,400.9582476804597,869.3189925959554,733.9505051532149,294283.50843042124,432.60780790811464,308.4244019990698
2020-05-12 10:25:00-06:00,451.55556068359897,407.9804830838674,869.5323406116157,734.0214745624871,299466.4357859362,440.23906697521176,313.63426223495054
2020-05-12 10:30:00-06:00,459.39665550468334,415.0208530103931,869.735483140231,734.0768757050861,304657.2111303292,447.891852493074,318.8508312828335
2020-05-12 10:35:00-06:00,467.25675079189585,422.07686097802343,869.9286755113757,734.1172481816523,309853.9037023364,455.5634619361893,324.0722059839363
2020-05-12 10:40:00-06:00,475.13296655157427,429.1459154418775,870.112191981149,734.14314763066,315054.533155341,463.2510862026864,329.2964219605217
2020-05-12 10:45:00-06:00,483.0223154683699,436.2253300791312,870.286282414443,734.1550996246687,320257.0506630485,470.9518110242376,334.5214552584946
2020-05-12 10:50:00-06:00,490.92170368185515,443.3123250613765,870.4511917177489,734.15362081165,325459.34859424067,478.6626177041918,339.74522341926655
2020-05-12 10:55:00-06:00,498.82792931121463,450.4040265675681,870.6071867231277,734.1392480176968,330659.27336845716,486.38038165865026,344.9655850316416
2020-05-12 11:00:00-06:00,506.73768883865876,457.49747132762775,870.7545098499,734.1124887595731,335854.6072775363,494.1018786248152,350.18034458809325
2020-05-12 11:05:00-06:00,514.6475779609416,464.5896080451786,870.8934008991514,734.0738448138508,341043.07983828423,501.82378547478663,355.3872535349567
2020-05-12 11:10:00-06:00,522.5540958397727,471.6773020432877,871.0241229895056,734.0238400777342,346222.3845233194,509.54268434890486,360.5840135200509
2020-05-12 11:15:00-06:00,530.4536526957921,478.7573404758009,871.1469049530281,733.9629589700686,351390.15424425935,517.255070049106,365.76828195580254
2020-05-12 11:20:00-06:00,538.3425737177072,485.8264377607711,871.2620054989328,733.8917151450221,356543.9976710486,524.9573538453092,370.93767486831484
2020-05-12 11:25:00-06:00,546.2171096267008,492.88124345485096,871.3696575162343,733.8105918350864,361681.47696401743,532.6458737728948,376.08977429593153
2020-05-12 11:30:00-06:00,554.0734432762004,499.9183490287734,871.470096182634,733.72007189377,366800.12699040637,540.3169010679597,381.22213284840996
2020-05-12 11:35:00-06:00,561.9076991391399,506.9342970760504,871.563580173094,733.6206603428423,371897.4737713667,547.9666494240518,386.33228009386613
2020-05-12 11:40:00-06:00,569.7159563609675,513.9255913579192,871.6503381502407,733.5128269756462,376971.013372078,555.5912877275246,391.4177313596891
2020-05-12 11:45:00-06:00,577.4942594885915,520.8887074969105,871.7306039566503,733.39704379624,382018.23822507856,563.1869505339537,396.47599472660835
2020-05-12 11:50:00-06:00,585.238629375531,527.8201030527762,871.8046258470956,733.2737946829028,387036.64987543004,570.7497487178182,401.5045781037653
2020-05-12 11:55:00-06:00,592.9450798382904,534.7162314133355,871.8726356648016,733.143542112496,392023.7519234179,578.2757857383393,406.5010000445387
2020-05-12 12:00:00-06:00,600.6096300074336,541.573553234022,871.9348622644604,733.0067412504496,396977.0654034973,585.7611697085956,411.4627975529186
2020-05-12 12:05:00-06:00,615.6071294318643,554.9515799735234,871.0015813592912,731.6088976335695,406007.51366443717,600.4087519883739,421.15313506053457
2020-05-12 12:10:00-06:00,630.421736326524,568.1590132124866,870.0388961931296,730.1802011896417,414858.4625752017,614.878694269369,430.69770519551594
2020-05-12 12:15:00-06:00,645.0701664194364,581.211014158831,869.0491892781316,728.7232757742852,423541.9941539177,629.1872878884902,440.10827146163376
