,i_sc,i_mp,v_oc,v_mp,p_mp,i_x,i_xx
2020-05-11 06:00:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11 06:05:00-06:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-11 06:10:00-06:00,8.711409619338703,7.914485766040617,708.4058505955162,417.74983890314064,3306.2751537646673,8.48427464264743,6.297562743448933
2020-05-11 06:15:00-06:00,22.734996740350574,20.652198410792785,754.1937021435791,535.1733661926368,11052.5065427822,22.142952065538,16.414874182449797
2020-05-11 06:20:00-06:00,34.174602577446365,31.039970455625543,773.3737848096991,578.228649926436,17948.200210312818,33.28555422396366,24.649268793053675
2020-05-11 06:25:00-06:00,44.25136412425218,40.1879474196961,785.3613669568736,603.3194423446629,24246.170026227686,43.10119230682209,31.888748835770837
2020-05-11 06:30:00-06:00,53.706247337670234,48.76941553510286,794.228948747338,620.9727409575166,30284.47763972892,52.311490308950255,38.6695974203322
2020-05-11 06:35:00-06:00,62.866761562641244,57.08191202521548,801.3575190269399,634.5952078077886,36223.90782370752,61.2354250268243,45.22838680508287
2020-05-11 06:40:00-06:00,71.84579142885356,65.22801703030848,807.3357058075056,645.621513610563,42112.611084923345,69.98293558204821,51.64678501059194
2020-05-11 06:45:00-06:00,80.65587922481576,73.21921252698218,812.4621746493963,654.7831424082761,47942.706063076796,78.56621917442287,57.93436504553167
2020-05-11 06:50:00-06:00,89.26121166928256,81.0231193937121,816.9105250996427,662.5096357138566,53678.597313928505,86.9503618413965,64.06620195722891
2020-05-11 06:55:00-06:00,97.59612854166394,88.58032293834547,820.7903407672093,669.0764180149324,59267.005178194144,95.07136300683803,69.99629493786378
2020-05-11 07:00:00-06:00,105.56413098531537,95.80349995503921,824.1708126485413,674.6647019803801,64635.239745843886,102.83516406253787,75.65700664856229
2020-05-11 07:05:00-06:00,113.0188250269736,102.56017098975404,827.0871840063293,679.3835398900635,69677.6920187493,110.09907485845707,80.94567621540965
2020-05-11 07:10:00-06:00,119.71148242264302,108.6252146267363,829.5325892769093,683.2645089899586,74219.75393586584,116.62066810575816,85.68765433739316
2020-05-11 07:15:00-06:00,125.13360281345571,113.53827907739351,831.4164206116981,686.2025520116806,77910.25685392183,121.9043496576229,89.52520074710111
2020-05-11 07:20:00-06:00,127.75817928962465,115.91650777046937,832.3358986417152,687.6055792188082,79704.83746653506,124.46196334301852,91.38140600261357
2020-05-11 07:25:00-06:00,123.97272336989768,112.48766234337583,831.2059265699761,685.7993164272937,77143.96194159136,120.77309943719787,88.70387704920324
2020-05-11 07:30:00-06:00,131.9437251419753,119.70911321485957,833.787494763126,689.791556869393,82574.33557593242,128.54078560815483,94.33975989427772
2020-05-11 07:35:00-06:00,139.9757504162956,126.98446052363532,836.2074960867337,693.4645230247362,88059.2183485762,136.36823287834594,100.0105523500351
2020-05-11 07:40:00-06:00,148.0694291166313,134.31423866998546,838.4822643606483,696.8544799360038,93597.478936373,144.25606184140483,105.7165111216398
2020-05-11 07:45:00-06:00,156.22555726387333,141.69913194746806,840.6257561388836,699.9920020965553,99188.25906725213,152.20505511538744,111.45800576202735
2020-05-11 07:50:00-06:00,164.44503598205895,149.13991907232852,842.6499692949432,702.903055342998,104830.90478954716,160.21609792725718,117.2354749108024
2020-05-11 07:55:00-06:00,172.72882565970212,156.63743159951505,844.565285396442,705.6098506561934,110524.91471810352,168.2901334561411,123.04939352776036
2020-05-11 08:00:00-06:00,181.07791372150106,164.19252480847268,846.3807532764279,708.1315265044695,116269.90323324676,176.42813143319032,128.90024993484766
2020-05-11 08:05:00-06:00,189.49329054371262,171.8060556742766,848.1042848202417,710.4846539924301,122065.56601954259,184.6310646722872,134.78852875893233
2020-05-11 08:10:00-06:00,197.97593239211537,179.47886762539665,849.7428530945966,712.6836845743965,127911.66068250801,192.8998924413519,140.71469892010444
2020-05-11 08:15:00-06:00,206.52678780514697,187.21177805391923,851.3026181635192,714.7412713282672,133807.98425388362,201.23554718792263,146.679204140597
2020-05-11 08:20:00-06:00,215.14676784979994,195.00556957818904,852.789051741066,716.6685534541574,139754.3594651048,209.63892503720808,152.6824562340572
2020-05-11 08:25:00-06:00,223.83673702053528,202.86098194275283,854.207043140339,718.4753921443155,145750.62355210024,218.110876914688,158.7248289073936
2020-05-11 08:30:00-06:00,232.59596676993974,210.7773131397187,855.5606366442396,720.1701468507717,151795.52855664233,226.65070077459555,164.80558527561698
2020-05-11 08:35:00-06:00,241.35655253608925,218.69311646181177,856.8399182450928,721.7442730196838,157840.50435513936,235.1921970631852,170.87747044963456
2020-05-11 08:40:00-06:00,250.1845831689389,226.66813322021622,858.0626831368513,723.2220941764091,163931.40199058206,243.79980596280868,176.9861746996574
2020-05-11 08:45:00-06:00,259.07966072146223,234.7019614998202,859.2319506990582,724.6096495341227,170067.30606735585,252.47314752035774,183.13119699531845
2020-05-11 08:50:00-06:00,268.04125579765997,242.79408078757893,860.3504679503717,725.9124011251627,176247.23416348814,261.2117135960399,189.311945901907
2020-05-11 08:55:00-06:00,277.06871300688977,250.94385669506798,861.4207208498829,727.135283157014,182470.13229448142,270.0148731535532,195.5277441378661
2020-05-11 09:00:00-06:00,286.1612521383669,259.15054260836433,862.4449949133135,728.2827993228336,188734.8826168508,278.8818733782675,201.77783014349444
2020-05-11 09:05:00-06:00,291.83973788103555,264.27578971424003,863.1168895424031,729.0223170175486,192662.9485491177,284.41969777948395,205.6757506153295
2020-05-11 09:10:00-06:00,297.56001965229245,269.4380767291232,863.7751087511036,729.7381915616514,196619.25485015986,289.99843166683183,209.59819462891838
2020-05-11 09:15:00-06:00,303.32087465331455,274.6362853653738,864.4198396274911,730.43094120633,200602.8404088402,295.61688570923684,213.54423381158836
2020-05-11 09:20:00-06:00,309.12102696445714,279.86925002652384,865.0512720804954,731.1010792265902,204612.71073672795,301.27381865971734,217.51290643345402
2020-05-11 09:25:00-06:00,314.9591436655927,285.1357542532789,865.669592553007,731.7491075235414,208647.83369788865,306.96793356196,221.5032150205988
2020-05-11 09:30:00-06:00,320.83383291229165,290.4345290143613,866.2749830377409,732.3755159819547,212707.13804586884,312.697875863987,225.51412531925044
2020-05-11 09:35:00-06:00,326.74363921529266,295.76424854784426,866.8676238542835,732.9807859017418,216789.51134223698,318.4622288036428,229.54456336113557
2020-05-11 09:40:00-06:00,332.6870411396004,301.1235283411806,867.4476938527861,733.5653906201602,220893.798692519,324.2595111533712,233.5934142009724
2020-05-11 09:45:00-06:00,338.6624464383207,306.5109207819934,868.0153693874045,734.1297948120985,225018.79938135218,330.08817246224027,237.65951892201383
2020-05-11 09:50:00-06:00,344.6681894909424,311.92491293968914,868.570826236855,734.6744569543406,229163.2660244961,335.94659054515756,241.74167322830874
2020-05-11 09:55:00-06:00,350.7025272421819,317.3639229471516,869.114238611296,735.1998286406515,233325.90176747082,341.8330675088386,245.83862503432374
2020-05-11 10:00:00-06:00,356.7636354098308,322.8262965673812,869.6457752557322,735.7063507604435,237505.35657709668,347.74582603940763,249.94907225906212
2020-05-11 10:05:00-06:00,362.84960595463355,328.31030518395653,870.1656101374293,736.1944653867831,241700.22960587445,353.68300692102537,254.07166147921873
